word	hiragana	furigana	JLPT	kaishi	english	RIRIKKU_RANK	RIRIKKU_TIER
線	せん	線[せん]	4	0	a line	63	B
あなた	あなた	あなた	-1	1	you	64	B
おる	おる	おる	-1	0	to exist (living things) {formal}	64	B
く	く	-	-1	0	-	64	B
つき	つき	-	-1	1	-	64	B
ではない	ではない	-	-1	0	-	65	B
では無い	ではない	-	-1	0	-	65	B
昭和	しょうわ	昭和[しょうわ]	-1	0	Shōwa Era 1926-89	65	B
とうきょう	とうきょう	-	-1	0	-	66	B
ところ	ところ	-	-1	1	place	66	B
なな	なな	-	-1	1	-	66	B
ら	ら	-	-1	0	-	66	B
んっ	んっ	-	-1	0	-	66	C
七	なな	七[しち]	5	1	seven	66	B
東京	とうきょう	東京[とうきょう]	-1	0	Tōkyō	66	B
我	われ	-	-1	0	-	67	B
番組	ばんぐみ	番組[ばんぐみ]	4	0	program (e.g. TV)	67	B
聞く	きく	聞[き]く	5	1	[vt] hear; ask	67	B
ええ	ええ	ええ	5	0	Yep. Yes, that is correct	68	B
こんな	こんな	こんな	5	0	this kind of	68	B
たり	たり	-	-1	0	-	68	B
だろ	だろ	-	-1	0	-	68	B
僕	ぼく	僕[ぼく]	4	1	I, me (male)	68	B
大	だい	-	-1	0	-	68	B
そして	そして	そして	3	1	and then, thus, and finally	69	B
なく	なく	-	-1	1	-	69	B
により	により	-	-1	0	-	69	B
現在	げんざい	現在[げんざい]	3	1	present time, now; present tense	69	B
而して	そして	-	-1	0	-	69	B
ほんとう	ほんとう	-	-1	1	-	70	B
仕舞う	しまう	仕舞[しま]う	1	0	to accidentally do; to end up doing; to finish doing	70	B
会	かい	-	3	0	-	70	B
前	まえ	前[まえ]	5	1	front; previous, before; ahead of	70	B
本当	ほんとう	本当[ほんとう]	5	1	really, truth	70	B
いま	いま	-	-1	1	-	71	B
では	では	-	5	1	then	71	B
外部	がいぶ	-	2	0	-	71	C
時代	じだい	時代[じだい]	4	1	age, era, period; antiquity	71	B
かれ	かれ	-	-1	1	-	72	B
つかう	つかう	-	-1	1	-	72	B
ふん	ふん	-	-1	0	-	72	B
使う	つかう	使[つか]う	5	1	[vt] use	72	B
彼	かれ	彼[かれ]	5	1	he, him	72	B
待つ	まつ	待[ま]つ	5	1	[vi, vt] wait	72	B
知る	しる	知[し]る	5	1	[vt] know, be aware of; perceive	72	B
なんて	なんて	-	-1	0	-	73	B
性	せい	性[せい]	3	0	sex, gender	73	B
時間	じかん	時間[じかん]	5	1	time, period; hour	73	B
画像	がぞう	画像[がぞう]	-1	0	portrait, likeness	73	B
貴方	あなた	貴方[あなた]	5	0	You - referring to someone of equal or lower status	73	B
つく	つく	つく	-1	1	be on, switched on	74	B
感じ	かんじ	感[かん]じ	3	1	feel(ing), sensation, touch, sense; impression, sentiment	74	B
目	め	目[め]	5	1	eye	74	B
おおい	おおい	-	1	1	-	75	F
かんがえる	かんがえる	-	-1	1	-	75	B
じゃん	じゃん	-	-1	0	-	75	B
ト	ト	-	-1	0	-	75	C
亜	あ	-	-1	0	-	75	C
区	く	区[く]	1	0	ward	75	B
多い	おおい	多[おお]い	5	1	many, much	75	B
考える	かんがえる	考[かんが]える	4	1	[vt] think; deliberate; study	75	B
とか	とか	-	-1	0	-	76	B
なり	なり	-	-1	0	-	76	B
による	による	-	-1	0	-	76	B
わけ	わけ	-	-1	0	-	76	B
又	また	又[また]	5	0	moreover, again, as well	76	B
渡河	とか	-	-1	0	-	76	B
鳴り	なり	-	-1	0	-	76	B
くらい	くらい	くらい	-1	1	approximately	77	B
カ	カ	-	-1	0	-	77	C
何か	なにか	何[なに]か	3	0	Something	77	B
必要	ひつよう	必要[ひつよう]	4	1	need, necessity	77	B
くださる	くださる	-	-1	0	-	78	B
たべる	たべる	-	-1	1	-	78	B
所	ところ	所[ところ]	5	0	place	78	B
食べる	たべる	食[た]べる	5	1	[vt] eat	78	B
へえ	へえ	-	-1	0	-	79	B
もつ	もつ	-	-1	1	-	79	B
テレビ	テレビ	テレビ	5	1	television	79	B
大丈夫	だいじょうぶ	大丈夫[だいじょうぶ]	5	1	safe, sure, all right	79	B
持つ	もつ	持[も]つ	5	1	hold, have; keep, maintain	79	B
きみ	きみ	-	-1	1	-	80	B
せかい	せかい	-	-1	1	-	80	B
世界	せかい	世界[せかい]	4	1	world, universe	80	B
だれ	だれ	-	-1	1	-	81	B
でる	でる	-	-1	1	-	81	B
ので	ので	ので	-1	0	that being the case; because of ...; the reason is ...; given that ...​	81	B
まだ	まだ	まだ	-1	1	not yet	81	B
やはり	やはり	-	3	0	-	81	B
出る	でる	出[で]る	5	1	[vi] go out, depart; go to, be present	81	B
千	せん	千[せん]	5	0	one thousand	81	B
矢張り	やはり	矢張[やは]り	-1	0	as I thought, expected; also, still; after all is said and done	81	B
誰	だれ	誰[だれ]	5	1	Who	81	B
関連	かんれん	関[かん] 連[れん]	3	0	relations, connection	81	B
おこなう	おこなう	-	-1	1	-	82	B
しる	しる	-	-1	1	-	82	B
だって	だって	-	3	0	-	82	B
き	き	-	-1	1	-	84	B
ちがう	ちがう	-	-1	1	-	84	B
三十	さんじゅう	-	-1	0	-	84	F
違う	ちがう	違[ちが]う	5	1	[vi] differ; disagree; be wrong	84	B
せ	せ	-	-1	1	-	85	C
まえ	まえ	-	-1	1	-	85	B
上	うえ	上[うえ]	5	1	top, upper part ; up; above	85	B
情報	じょうほう	情報[じょうほう]	3	1	information	85	B
零	れい	-	5	0	-	85	B
えいが	えいが	-	-1	0	-	86	B
きく	きく	-	-1	1	-	86	B
つい	つい	つい	-1	1	unintentionally	86	B
映画	えいが	映画[えいが]	5	0	film, movie	86	B
気	き	気[き]	4	1	mood, spirit, mind	86	B
訳	わけ	訳[わけ]	4	0	meaning, sense; reason; circumstances	86	B
ござる	ござる	-	-1	0	-	87	B
ながら	ながら	-	-1	0	-	87	B
によって	によって	-	-1	0	-	87	B
アメリカ	アメリカ	-	4	0	-	87	B
乍ら	ながら	-	-1	0	-	87	B
しまう	しまう	しまう	3	0	to complete, to finish	88	B
ナツメ	ナツメ	-	-1	0	-	88	U
今日	きょう	今日[きょう] [irreg.]	5	1	today	88	B
作品	さくひん	作品[さくひん]	3	0	piece of work, product	88	B
等	とう	-	3	0	-	88	B
でき	でき	-	-1	0	-	89	C
戦	せん	戦[いくさ]	1	0	war, fight, battle	89	B
然し	しかし	-	1	0	-	89	B
こちら	こちら	こちら	-1	1	this (directional)	90	B
他	ほか	他[ほか]	5	1	other	90	B
話	はなし	話[はなし]	5	1	talk, conversation; story, account; topic	90	B
じゃあ	じゃあ	-	5	0	-	91	B
まつ	まつ	-	-1	1	-	91	B
やっ	やっ	-	-1	0	-	91	B
位	くらい	位[くらい]	3	0	rank; position	91	B
寄り	より	-	-1	0	-	91	F
間	あいだ	間[あいだ]	4	1	period of time (during, while), between	91	B
なんだ	なんだ	-	-1	0	-	92	B
のに	のに	-	-1	0	-	92	B
未だ	まだ	-	5	0	not yet, yet, more	92	B
版	はん	-	1	0	-	92	B
あと	あと	-	-1	1	After	93	B
